R_fighter,B_fighter,Referee,date,location,Winner,title_bout,weight_class,B_avg_KD,B_avg_opp_KD,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Stance,B_Height_cms,B_Weight_lbs,R_avg_KD,R_avg_opp_KD,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Stance,R_Height_cms,R_Weight_lbs,B_age,R_age
Adrian Yanez,Gustavo Lopez,Chris Tognoni,3/20/2021,"Las Vegas, Nevada, USA",Red,FALSE,Bantamweight,0,0,531.5,4,0,0,1,1,1,1,0,0,0,0,0,1,0,Orthodox,165.1,135,1,0,166,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,170.18,135,31,27
Trevin Giles,Roman Dolidze,Herb Dean,3/20/2021,"Las Vegas, Nevada, USA",Red,FALSE,Middleweight,0.5,0,577.5,4,0,2,0,2,2,0,0,0,1,0,1,0,0,Orthodox,187.96,205,1.03125,0.0625,747.34375,17,0,2,0,2,4,2,0,0,1,0,3,0,0,Orthodox,182.88,185,32,28
Marion Reneau,Macy Chiasson,Mark Smith,3/20/2021,"Las Vegas, Nevada, USA",Blue,FALSE,WomenBantamweight,0.125,0,764,11,1,3,0,3,4,1,0,0,0,1,2,1,0,Orthodox,180.34,135,0,0.000976563,874.3808594,30,0,2,0,2,5,6,0,0,0,1,2,2,0,Orthodox,167.64000000000001,135,29,43
Leonardo Santos,Grant Dawson,Chris Tognoni,3/20/2021,"Las Vegas, Nevada, USA",Blue,FALSE,Lightweight,0,0,717.875,10,0,4,0,4,4,0,0,0,0,2,0,2,0,Switch,177.8,145,0.3125,0.015625,649.3046875,18,1,1,0,6,7,1,0,0,1,2,2,2,0,Orthodox,182.88,155,27,41
Song Kenan,Max Griffin,Keith Peterson,3/20/2021,"Las Vegas, Nevada, USA",Blue,FALSE,Welterweight,0.046875,0.125,809.53125,28,0,0,1,1,4,6,0,1,0,1,2,0,0,Orthodox,180.34,170,0.625,0,445,10,0,2,0,2,4,1,0,0,0,1,3,0,0,Orthodox,182.88,170,35,31
Derek Brunson,Kevin Holland,Herb Dean,3/20/2021,"Las Vegas, Nevada, USA",Red,FALSE,Middleweight,0.15625,0,267.5175781,23,0,0,1,5,8,2,0,0,2,1,3,2,0,Orthodox,190.5,185,0.024551392,0.220703125,683.1185607910156,31,0,2,0,5,12,5,0,0,0,4,7,1,0,Southpaw,185.42,185,28,37
Misha Cirkunov,Ryan Spann,Mark Smith,3/13/2021,"Las Vegas, Nevada, USA",Blue,FALSE,LightHeavyweight,1.0625,0,423.3125,10,0,4,0,4,4,1,0,0,1,1,1,1,0,Orthodox,195.57999999999998,205,0,0.28125,161.4882813,12,0,4,0,4,6,3,0,0,0,0,1,5,0,Orthodox,190.5,205,29,34
Leon Edwards,Belal Muhammad,Herb Dean,3/13/2021,"Las Vegas, Nevada, USA",Draw,FALSE,Welterweight,0,0.064941406,876.0532227,34,0,0,1,4,9,3,0,0,1,6,1,1,0,Orthodox,180.34,170,0.313964844,0.03125,1273.572266,38,0,0,1,8,10,2,0,0,1,6,2,1,0,Southpaw,187.96,170,32,29
Eryk Anders,Darren Stewart,Herb Dean,3/13/2021,"Las Vegas, Nevada, USA",Draw,FALSE,Middleweight,0.0234375,0,715.3398438,24,0,0,4,3,5,6,0,0,1,1,2,1,0,Orthodox,182.88,185,0.173828125,0.25,798.0351563,28,0,2,0,2,5,5,0,0,1,1,3,0,0,Southpaw,185.42,185,30,33
Angela Hill,Ashley Yoder,Mike Beltran,3/13/2021,"Las Vegas, Nevada, USA",Red,FALSE,WomenStrawweight,0.015625,0,900,24,0,0,3,2,3,5,0,0,1,2,0,0,0,Southpaw,170.18,115,0.250152588,0,1170.8458862304688,45,0,1,0,3,7,9,0,0,0,5,1,0,1,Orthodox,160.02,115,33,36
